release_date,region,issue,epiweek,lag,num_ili,num_patients,num_providers,num_age_0,num_age_1,num_age_2,num_age_3,num_age_4,num_age_5,wili,ili,region_name
2024-10-04,AK,202439,202305,86,54,3815,12,,,,,,,1.41547,1.41547,
2024-10-04,AL,202439,202305,86,1335,48572,106,,,,,,,2.7485,2.7485,
2024-10-04,AR,202439,202305,86,275,12327,45,,,,,,,2.23088,2.23088,
2024-10-04,AZ,202439,202305,86,393,22677,44,,,,,,,1.73303,1.73303,
2024-10-04,CA,202439,202305,86,10071,294040,221,,,,,,,3.42504,3.42504,
2024-10-04,CEN1,202439,202305,86,2364,144650,264,448.0,894.0,,550.0,239.0,233.0,1.51504,1.63429,NEW_ENGLAND
2024-10-04,CEN2,202439,202305,86,8510,256323,375,1998.0,3148.0,,2235.0,671.0,458.0,2.82145,3.32003,MID_ATLANTIC
2024-10-04,CEN3,202439,202305,86,4204,257479,550,979.0,1543.0,,1012.0,349.0,321.0,1.70751,1.63275,EAST_NORTH_CENTRAL
2024-10-04,CEN4,202439,202305,86,1796,106856,290,403.0,676.0,,407.0,144.0,166.0,1.7021,1.68077,WEST_NORTH_CENTRAL
2024-10-04,CEN5,202439,202305,86,19938,636252,958,4622.0,7222.0,,4603.0,1803.0,1688.0,3.02909,3.13366,SOUTH_ATLANTIC
2024-10-04,CEN6,202439,202305,86,3394,124794,318,908.0,1144.0,,778.0,320.0,244.0,2.74454,2.71968,EAST_SOUTH_CENTRAL
2024-10-04,CEN7,202439,202305,86,3024,115404,207,814.0,1039.0,,732.0,243.0,196.0,3.11549,2.62036,WEST_SOUTH_CENTRAL
2024-10-04,CEN8,202439,202305,86,3746,149363,332,926.0,1351.0,,816.0,316.0,337.0,2.22467,2.50798,MOUNTAIN
2024-10-04,CEN9,202439,202305,86,12350,417665,440,1588.0,2734.0,,4373.0,2028.0,1627.0,2.92959,2.95692,PACIFIC
2024-10-04,CO,202439,202305,86,1611,48673,98,,,,,,,3.30984,3.30984,
2024-10-04,CT,202439,202305,86,817,40525,70,,,,,,,2.01604,2.01604,
2024-10-04,DE,202439,202305,86,181,13147,28,,,,,,,1.37674,1.37674,
2024-10-04,FL,202439,202305,86,9701,260713,359,,,,,,,3.72095,3.72095,
2024-10-04,GA,202439,202305,86,2288,78074,101,,,,,,,2.93055,2.93055,
2024-10-04,HI,202439,202305,86,1010,35729,41,,,,,,,2.82684,2.82684,
2024-10-04,IA,202439,202305,86,72,4668,15,,,,,,,1.54242,1.54242,
2024-10-04,ID,202439,202305,86,119,9256,31,,,,,,,1.28565,1.28565,
2024-10-04,IL,202439,202305,86,1388,68030,180,,,,,,,2.04028,2.04028,
2024-10-04,IN,202439,202305,86,902,51917,101,,,,,,,1.73739,1.73739,
2024-10-04,KS,202439,202305,86,242,16809,33,,,,,,,1.4397,1.4397,
2024-10-04,KY,202439,202305,86,818,32306,79,,,,,,,2.53204,2.53204,
2024-10-04,LA,202439,202305,86,755,41110,87,,,,,,,1.83654,1.83654,
2024-10-04,MA,202439,202305,86,1246,73176,95,,,,,,,1.70274,1.70274,
2024-10-04,MD,202439,202305,86,953,41460,66,,,,,,,2.2986,2.2986,
2024-10-04,ME,202439,202305,86,134,12987,51,,,,,,,1.0318,1.0318,
2024-10-04,MI,202439,202305,86,844,78504,152,,,,,,,1.0751,1.0751,
2024-10-04,MN,202439,202305,86,461,33281,70,,,,,,,1.38517,1.38517,
2024-10-04,MO,202439,202305,86,430,24910,41,,,,,,,1.72621,1.72621,
2024-10-04,MS,202439,202305,86,435,12442,32,,,,,,,3.49622,3.49622,
2024-10-04,MT,202439,202305,86,84,7222,28,,,,,,,1.16311,1.16311,
2024-10-04,NC,202439,202305,86,1820,88037,144,,,,,,,2.06731,2.06731,
2024-10-04,ND,202439,202305,86,119,2680,14,,,,,,,4.4403,4.4403,
2024-10-04,NE,202439,202305,86,383,15769,85,,,,,,,2.42882,2.42882,
2024-10-04,NH,202439,202305,86,7,1534,10,,,,,,,0.456323,0.456323,
2024-10-04,NJ,202439,202305,86,1017,28435,32,,,,,,,3.57658,3.57658,
2024-10-04,NM,202439,202305,86,872,21638,36,,,,,,,4.02995,4.02995,
2024-10-04,NV,202439,202305,86,173,19158,32,,,,,,,0.903017,0.903017,
2024-10-04,NY_MINUS_JFK,202439,202305,86,1318,53266,121,,,,,,,2.47437,2.47437,
2024-10-04,OH,202439,202305,86,866,39173,83,,,,,,,2.21071,2.21071,
2024-10-04,OK,202439,202305,86,361,15467,33,,,,,,,2.334,2.334,
